name,price,desc,url,dimention
name,price,desc,url,dimention
Classic Handbag,"$9,000","Velvet & Gold-Tone Metal, Black",https://www.chanel.com/us/fashion/p/AS1939B0339894305/classic-handbag-velvet-gold-tone-metal/,6.2 × 9.4 × 2.7 in
Evening Bag,None,"Lambskin, Enamel, Strass & Gold-Tone Metal, Gold & Black",https://www.chanel.com/us/fashion/p/AS1941B03709N4738/evening-bag-lambskin-enamel-strass-gold-tone-metal/,8.6 × 5.3 × 5.3 in
2.55 Handbag,"$6,500","Metallic Goatskin & Gold-Tone Metal, Multicolor",https://www.chanel.com/us/fashion/p/A37586B0346399999/2-55-handbag-metallic-goatskin-gold-tone-metal/,6.2 × 9.4 × 2.9 in
Flap Bag,"$4,100","Velvet, Strass & Gold-Tone Metal, Coral",https://www.chanel.com/us/fashion/p/AS1787B03437N8266/flap-bag-velvet-strass-gold-tone-metal/,5.1 × 7.8 × 2.7 in
Shopping Bag,"$4,100","Shiny Aged Calfskin, Gold-Tone, Silver-Tone & Ruthenium-Finish Metal, Black",https://www.chanel.com/us/fashion/p/AS1875B0340894305/shopping-bag-shiny-aged-calfskin-gold-tone-silver-tone-ruthenium-finish-metal/,10.5 × 15.6 × 3.5 in
Large Shopping Bag,"$4,200","Wool Tweed & Gold-Tone Metal, Purple, Black & Blue",https://www.chanel.com/us/fashion/p/AS1876B03422N7619/large-shopping-bag-wool-tweed-gold-tone-metal/,12.1 × 17.2 × 3.9 in
Large Shopping Bag,"$4,200","Cotton Tweed & Gold-Tone Metal, Coral, Pink & Orange",https://www.chanel.com/us/fashion/p/AS1876B03423N7463/large-shopping-bag-cotton-tweed-gold-tone-metal/,12.1 × 17.2 × 3.9 in
Kiss-Lock Bag,"$5,200","Lambskin & Gold-Tone Metal, Black",https://www.chanel.com/us/fashion/p/AS1886B0342894305/kiss-lock-bag-lambskin-gold-tone-metal/,5.9 × 8.6 × 3.5 in
Small Kiss-Lock Bag,"$4,100","Metallic Lambskin & Gold-Tone Metal, Gold",https://www.chanel.com/us/fashion/p/AS1885B03431N7897/small-kiss-lock-bag-metallic-lambskin-gold-tone-metal/,4.3 × 5.5 × 2.7 in
